Grid: advantages, 
	, 43_response.txt, 41_response.txt, 40_response.txt, 31_response.txt, 28_response.txt, 26_response.txt, 23_response.txt, 18_response.txt, 12_response.txt, 0_response.txt,
	0_response.txt, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0,
	12_response.txt, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0,
	18_response.txt, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0,
	23_response.txt, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0,
	26_response.txt, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0,
	28_response.txt, 1.0, 0.0, 0.0, 0.0, 1.0,
	31_response.txt, 0.0, 0.0, 0.0, 1.0,
	40_response.txt, 0.0, 0.0, 1.0,
	41_response.txt, 0.0, 1.0,
	43_response.txt, 1.0,


Grid: approach, 
	, 43_response.txt, 41_response.txt, 40_response.txt, 31_response.txt, 28_response.txt, 26_response.txt, 23_response.txt, 18_response.txt, 12_response.txt, 0_response.txt,
	0_response.txt, 0.4, 0.3, 0.1, 0.0, 0.1, 0.1, 0.3, 0.6, 0.8, 1.0,
	12_response.txt, 0.4, 0.3, 0.1, 0.0, 0.1, 0.1, 0.3, 0.6, 1.0,
	18_response.txt, 0.5, 0.2, 0.0, 0.0, 0.2, 0.2, 0.1, 1.0,
	23_response.txt, 0.2, 0.8, 0.1, 0.1, 0.1, 0.0, 1.0,
	26_response.txt, 0.2, 0.1, 0.0, 0.1, 0.3, 1.0,
	28_response.txt, 0.5, 0.1, 0.0, 0.1, 1.0,
	31_response.txt, 0.0, 0.1, 0.0, 1.0,
	40_response.txt, 0.0, 0.1, 1.0,
	41_response.txt, 0.2, 1.0,
	43_response.txt, 1.0,


Grid: materials, 
	, 43_response.txt, 41_response.txt, 40_response.txt, 31_response.txt, 28_response.txt, 26_response.txt, 23_response.txt, 18_response.txt, 12_response.txt, 0_response.txt,
	0_response.txt, 0.7, 0.2, 0.1, 0.1, 0.75, 0.7, 0.3, 0.2, 0.8, 1.0,
	12_response.txt, 0.8, 0.2, 0.15, 0.1, 0.8, 0.75, 0.2, 0.15, 1.0,
	18_response.txt, 0.15, 0.1, 0.05, 0.05, 0.15, 0.1, 0.25, 1.0,
	23_response.txt, 0.1, 0.5, 0.1, 0.15, 0.1, 0.1, 1.0,
	26_response.txt, 0.85, 0.1, 0.05, 0.1, 0.7, 1.0,
	28_response.txt, 0.75, 0.1, 0.1, 0.05, 1.0,
	31_response.txt, 0.2, 0.2, 0.1, 1.0,
	40_response.txt, 0.1, 0.2, 1.0,
	41_response.txt, 0.1, 1.0,
	43_response.txt, 1.0,


Grid: metrics, 
	, 43_response.txt, 41_response.txt, 40_response.txt, 31_response.txt, 28_response.txt, 26_response.txt, 23_response.txt, 18_response.txt, 12_response.txt, 0_response.txt,
	0_response.txt, 0.67, 0.17, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 1.0, 1.0,
	12_response.txt, 0.67, 0.17, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 1.0,
	18_response.txt, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0,
	23_response.txt, 0.33, 0.17, 0.0, 0.0, 0.0, 0.0, 1.0,
	26_response.txt, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0,
	28_response.txt, 0.0, 0.0, 0.0, 0.0, 1.0,
	31_response.txt, 0.0, 0.0, 0.0, 1.0,
	40_response.txt, 0.0, 0.0, 1.0,
	41_response.txt, 0.33, 1.0,
	43_response.txt, 1.0,


Grid: problem, 
	, 43_response.txt, 41_response.txt, 40_response.txt, 31_response.txt, 28_response.txt, 26_response.txt, 23_response.txt, 18_response.txt, 12_response.txt, 0_response.txt,
	0_response.txt, 0.7, 0.1, 0.5, 0.0, 0.9, 0.7, 0.1, 0.8, 0.8, 1.0,
	12_response.txt, 0.9, 0.1, 0.2, 0.0, 0.8, 0.8, 0.1, 0.9, 1.0,
	18_response.txt, 0.95, 0.1, 0.2, 0.0, 0.8, 0.7, 0.1, 1.0,
	23_response.txt, 0.1, 0.1, 0.3, 0.0, 0.1, 0.1, 1.0,
	26_response.txt, 0.8, 0.1, 0.2, 0.0, 0.7, 1.0,
	28_response.txt, 0.8, 0.1, 0.5, 0.0, 1.0,
	31_response.txt, 0.0, 0.1, 0.0, 1.0,
	40_response.txt, 0.2, 0.1, 1.0,
	41_response.txt, 0.1, 1.0,
	43_response.txt, 1.0,


Grid: processes, 
	, 43_response.txt, 41_response.txt, 40_response.txt, 31_response.txt, 28_response.txt, 26_response.txt, 23_response.txt, 18_response.txt, 12_response.txt, 0_response.txt,
	0_response.txt, 0.5, 0.2, 0.1, 0.1, 0.4, 0.4, 0.2, 0.3, 0.7, 1.0,
	12_response.txt, 0.6, 0.2, 0.1, 0.1, 0.4, 0.5, 0.1, 0.2, 1.0,
	18_response.txt, 0.2, 0.1, 0.0, 0.1, 0.2, 0.1, 0.1, 1.0,
	23_response.txt, 0.1, 0.3, 0.0, 0.2, 0.1, 0.1, 1.0,
	26_response.txt, 0.6, 0.1, 0.1, 0.1, 0.3, 1.0,
	28_response.txt, 0.4, 0.1, 0.1, 0.1, 1.0,
	31_response.txt, 0.1, 0.2, 0.1, 1.0,
	40_response.txt, 0.1, 0.1, 1.0,
	41_response.txt, 0.1, 1.0,
	43_response.txt, 1.0,


