Advantages
Paper 0, Paper 12, 0.70
Paper 0, Paper 18, 0.60
Paper 0, Paper 23, 0.80
Paper 0, Paper 26, 0.70
Paper 0, Paper 28, 0.75
Paper 0, Paper 31, 0.00
Paper 0, Paper 40, 0.50
Paper 0, Paper 41, 0.70
Paper 0, Paper 43, 0.90
Paper 12, Paper 18, 0.50
Paper 12, Paper 23, 0.10
Paper 12, Paper 26, 0.10
Paper 12, Paper 28, 0.10
Paper 12, Paper 31, 0.00
Paper 12, Paper 40, 0.60
Paper 12, Paper 41, 0.60
Paper 12, Paper 43, 0.20
Paper 18, Paper 23, 0.10
Paper 18, Paper 26, 0.10
Paper 18, Paper 28, 0.10
Paper 18, Paper 31, 0.00
Paper 18, Paper 40, 0.10
Paper 18, Paper 41, 0.50
Paper 18, Paper 43, 0.20
Paper 23, Paper 26, 0.10
Paper 23, Paper 28, 0.10
Paper 23, Paper 31, 0.00
Paper 23, Paper 40, 0.10
Paper 23, Paper 41, 0.20
Paper 23, Paper 43, 0.10
Paper 26, Paper 28, 0.20
Paper 26, Paper 31, 0.00
Paper 26, Paper 40, 0.10
Paper 26, Paper 41, 0.20
Paper 26, Paper 43, 0.60
Paper 28, Paper 31, 0.00
Paper 28, Paper 40, 0.10
Paper 28, Paper 41, 0.20
Paper 28, Paper 43, 0.80
Paper 31, Paper 40, 0.00
Paper 31, Paper 41, 0.00
Paper 31, Paper 43, 0.00
Paper 40, Paper 41, 0.20
Paper 40, Paper 43, 0.30
Paper 41, Paper 43, 0.30


Approach
Paper 0, Paper 12, 0.75
Paper 0, Paper 18, 0.20
Paper 0, Paper 23, 0.30
Paper 0, Paper 26, 0.35
Paper 0, Paper 28, 0.25
Paper 0, Paper 31, 0.10
Paper 0, Paper 40, 0.15
Paper 0, Paper 41, 0.30
Paper 0, Paper 43, 0.35
Paper 12, Paper 18, 0.15
Paper 12, Paper 23, 0.25
Paper 12, Paper 26, 0.30
Paper 12, Paper 28, 0.20
Paper 12, Paper 31, 0.10
Paper 12, Paper 40, 0.10
Paper 12, Paper 41, 0.25
Paper 12, Paper 43, 0.30
Paper 18, Paper 23, 0.10
Paper 18, Paper 26, 0.15
Paper 18, Paper 28, 0.10
Paper 18, Paper 31, 0.05
Paper 18, Paper 40, 0.05
Paper 18, Paper 41, 0.20
Paper 18, Paper 43, 0.15
Paper 23, Paper 26, 0.10
Paper 23, Paper 28, 0.15
Paper 23, Paper 31, 0.15
Paper 23, Paper 40, 0.10
Paper 23, Paper 41, 0.25
Paper 23, Paper 43, 0.10
Paper 26, Paper 28, 0.10
Paper 26, Paper 31, 0.20
Paper 26, Paper 40, 0.05
Paper 26, Paper 41, 0.15
Paper 26, Paper 43, 0.40
